show_id,type,title,duration
81092330,Movie,For Love or Money,95 min
80170992,Movie,Inxeba,88 min
81165770,Movie,The CEO,109 min
81032659,TV Show,Monty Don's Italian Gardens,1 Season
70209245,Movie,A Perfect Ending,110 min
80191044,Movie,ReMastered: Who Killed Jam Master Jay?,59 min
60021758,Movie,Asoka,168 min
81024494,Movie,Postcards from London,90 min
70077546,Movie,P.S. I Love You,126 min
80165437,TV Show,72 Dangerous Animals: Asia,1 Season
81028895,TV Show,Arthdal Chronicles,1 Season
80103372,Movie,Don't Think Twice,92 min
80032640,Movie,The Perfect Dictatorship,143 min
80156006,TV Show,Ultimate Beastmaster México,3 Seasons
80162210,Movie,Felipe Neto: My Life Makes No Sense,91 min
80093820,Movie,K-on! the movie,110 min
81074367,Movie,Jaoon Kahan Bata Ae Dil,107 min
80066800,TV Show,Immortal Classic,1 Season
80172938,Movie,Beyond All Boundaries,98 min
81094271,TV Show,Spirit Riding Free: Pony Tales,2 Seasons
80057691,Movie,XOXO,92 min
70211474,Movie,Aarakshan,164 min
81029841,Movie,A Christmas Prince: The Royal Baby,85 min
80002074,Movie,Ghost Whispers,56 min
70113003,Movie,My Sister's Keeper,109 min
80177405,Movie,Marc Maron: Too Real,70 min
80218111,Movie,Catching Feelings,117 min
70300472,TV Show,Hunter X Hunter (2011),3 Seasons
80176715,Movie,The Legacy of a Whitetail Deer Hunter,83 min
80233447,TV Show,Wake Up,2 Seasons
81132440,Movie,Kids on the Block,102 min
70022548,Movie,WWII: Report from the Aleutians,45 min
80997402,Movie,Counterfeiting in Suburbia,88 min
80123742,Movie,West Coast,81 min
81038583,TV Show,Strongland,1 Season
70202579,TV Show,The War: A Film by Ken Burns and Lynn Novick,1 Season
80155792,Movie,Vaya,106 min
70105599,Movie,Coraline,101 min
449931,Movie,Doctor Zhivago,200 min
70109657,Movie,Jeff Dunham's Very Special Christmas Special,85 min
80196789,Movie,Bird Box,124 min
80114419,Movie,Off Course,107 min
80052790,Movie,Palio,91 min
80241876,Movie,Le K Benzema,121 min
80997857,Movie,The Bare-Footed Kid,83 min
80124099,Movie,Boyka: Undisputed,90 min
80168084,Movie,Trophy,110 min
81063480,Movie,Truckbhar Swapna,128 min
80180224,Movie,Us and Them,83 min
70213120,TV Show,Beyblade: Metal Fusion,1 Season
